ID,Level,col3,col4,col5,col6,col7,col8
284,14890.3315,191,95,2,e,0,a3Piu
285,15185.8745,191,95,3,e,0,a3Piu
286,14890.366,193,96,1,f,0,a3Piu
287,15185.8961,193,96,2,f,0,a3Piu
288,15472.5176,193,96,3,f,0,a3Piu
289,15185.3177,195,97,1,e,0,a3Piu
290,15471.3756,195,97,2,e,0,a3Piu
291,15772.2538,195,97,3,e,0,a3Piu
292,2250.7022,1,0,3,f,1,a3Piu
293,2237.6112,3,1,2,e,1,a3Piu
294,2253.2619,3,1,3,e,1,a3Piu
295,2221.8073,5,2,1,f,1,a3Piu
296,2243.8299,5,2,2,f,1,a3Piu
297,2262.178,5,2,3,f,1,a3Piu
298,2230.1076,7,3,1,e,1,a3Piu
299,2252.9445,7,3,2,e,1,a3Piu
300,2272.3548,7,3,3,e,1,a3Piu
301,2241.281,9,4,1,f,1,a3Piu
302,2265.7276,9,4,2,f,1,a3Piu
303,2288.3063,9,4,3,f,1,a3Piu
304,2255.3648,11,5,1,e,1,a3Piu
305,2281.1597,11,5,2,e,1,a3Piu
306,2305.6725,11,5,3,e,1,a3Piu
307,2272.4583,13,6,1,f,1,a3Piu
308,2300.5915,13,6,2,f,1,a3Piu
309,2328.3209,13,6,3,f,1,a3Piu
310,2292.5425,15,7,1,e,1,a3Piu
311,2322.4255,15,7,2,e,1,a3Piu
312,2352.5706,15,7,3,e,1,a3Piu
313,2315.745,17,8,1,f,1,a3Piu
314,2348.4574,17,8,2,f,1,a3Piu
315,2381.7595,17,8,3,f,1,a3Piu
316,2341.9855,19,9,1,e,1,a3Piu
317,2376.7022,19,9,2,e,1,a3Piu
318,2412.7196,19,9,3,e,1,a3Piu
319,2371.4111,21,10,1,f,1,a3Piu
320,2409.2769,21,10,2,f,1,a3Piu
321,2448.3729,21,10,3,f,1,a3Piu
322,2403.9057,23,11,1,e,1,a3Piu
323,2443.9213,23,11,2,e,1,a3Piu
324,2485.9448,23,11,3,e,1,a3Piu
325,2439.6146,25,12,1,f,1,a3Piu
326,2482.9986,25,12,2,f,1,a3Piu
327,2528.0192,25,12,3,f,1,a3Piu
328,2478.4221,27,13,1,e,1,a3Piu
329,2524.0276,27,13,2,e,1,a3Piu
330,2572.1431,27,13,3,e,1,a3Piu
331,2520.4432,29,14,1,f,1,a3Piu
332,2569.5811,29,14,2,f,1,a3Piu
333,2620.6095,29,14,3,f,1,a3Piu
334,2565.5984,31,15,1,e,1,a3Piu
335,2616.9795,31,15,2,e,1,a3Piu
336,2671.2461,31,15,3,e,1,a3Piu
337,2613.9424,33,16,1,f,1,a3Piu
338,2668.9908,33,16,2,f,1,a3Piu
339,2726.0815,33,16,3,f,1,a3Piu
340,2665.4658,35,17,1,e,1,a3Piu
341,2722.7434,35,17,2,e,1,a3Piu
342,2783.2027,35,17,3,e,1,a3Piu
343,2720.1327,37,18,1,f,1,a3Piu
344,2781.1982,37,18,2,f,1,a3Piu
345,2844.3868,37,18,3,f,1,a3Piu
346,2778.0354,39,19,1,e,1,a3Piu
347,2841.2889,39,19,2,e,1,a3Piu
348,2907.9705,39,19,3,e,1,a3Piu
349,2839.0188,41,20,1,f,1,a3Piu
350,2906.1752,41,20,2,f,1,a3Piu
351,2975.484,41,20,3,f,1,a3Piu
352,2903.3055,43,21,1,e,1,a3Piu
353,2972.5873,43,21,2,e,1,a3Piu
354,3045.5116,43,21,3,e,1,a3Piu
355,2970.5946,45,22,1,f,1,a3Piu
356,3043.8935,45,22,2,f,1,a3Piu
357,3119.335,45,22,3,f,1,a3Piu
358,3041.2656,47,23,1,e,1,a3Piu
359,3116.6091,47,23,2,e,1,a3Piu
360,3195.7896,47,23,3,e,1,a3Piu
361,3114.8464,49,24,1,f,1,a3Piu
362,3194.3237,49,24,2,f,1,a3Piu
363,3275.9031,49,24,3,f,1,a3Piu
364,3191.8986,51,25,1,e,1,a3Piu
365,3273.3238,51,25,2,e,1,a3Piu
366,3358.7687,51,25,3,e,1,a3Piu
367,3271.7547,53,26,1,f,1,a3Piu
368,3357.435,53,26,2,f,1,a3Piu
369,3445.1514,53,26,3,f,1,a3Piu
370,3355.1824,55,27,1,e,1,a3Piu
371,3442.6995,55,27,2,e,1,a3Piu
372,3534.4122,55,27,3,e,1,a3Piu
