ID,Level,,col3
928,16037.617,*,14
929,13023.545,*,13
930,13012.349,*,12
931,18142.29,*,17
932,18131.086,*,18
933,15904.433,*,15
934,11128.276,*,6
935,11117.065,*,5
936,16520.829,*,16
937,16509.615,*,15
938,15275.28,*,16
939,17875.363,*,20
940,16696.19,*,13
941,16684.966,*,14
942,15678.831,*,14
943,15667.607,*,15
944,12736.452,*,2
945,17221.968,*,19
946,14311.024,*,7
947,14299.779,*,6
948,19906.939,*,19
949,7309.325,18,4
950,18872.035,*,19
951,18860.785,*,18
952,13516.261,*,17
953,13505.007,*,16
954,13268.365,*,15
955,11660.716,*,15
956,11649.443,*,15
957,9311.893,*,6
958,9300.619,*,7
959,15380.202,*,10
960,15368.918,*,9
961,18448.443,*,16
962,18437.146,*,17
963,19257.303,*,17
964,19246.003,*,17
965,15868.786,*,16
966,15857.481,*,17
967,17768.644,*,18
968,14492.712,*,9
969,14481.39,*,8
970,20163.842,*,19
971,15674.709,*,13
972,15663.373,*,12
973,16604.028,*,17
974,11954.781,*,6
975,11943.429,*,6
976,14619.396,*,16
977,14608.028,*,16
978,13883.002,*,19
979,13871.628,*,18
980,18540.288,*,17
981,18528.907,*,17
982,12509.986,*,2
983,12498.601,*,2
984,12153.652,*,10
985,12142.265,*,9
986,17831.1,*,16
987,17819.713,*,15
988,14746.771,*,6
989,17149.98,*,20
990,17138.564,*,19
991,16029.14,*,12
992,18374.583,*,17
993,18363.156,*,18
994,16747.748,*,18
995,16736.32,*,19
996,12592.266,*,13
997,12580.834,*,12
998,19331.985,*,20
999,15845.608,*,12
1000,15834.162,*,13
1001,12759.73,*,4
1002,12748.282,*,4
1003,16909.506,*,14
1004,16898.056,*,15
1005,16532.281,*,16
1006,15481.708,*,13
1007,15470.245,*,14
1008,10859.625,*,10
1009,10848.148,*,11
1010,15868.958,*,17
1011,16822.332,*,19
1012,16810.851,*,19
1013,15111.219,*,10
1014,15099.734,*,11
1015,19424.298,*,18
1016,12367.224,*,11
1017,12355.733,*,11
1018,17931.901,*,20
1019,17179.967,*,16
1020,13292.53,*,8
1021,12521.656,*,19
1022,12510.145,*,18
1023,14379.659,*,15
1024,14395.991,*,7
1025,18634.451,*,17
1026,18622.933,*,18
1027,19365.472,*,17
1028,15857.267,*,16
1029,19759.25,*,19
1030,19747.727,*,20
1031,17617.03,*,19
1032,17605.507,*,20
1033,18101.746,*,15
1034,18090.22,*,15
1035,15226.257,*,16
1036,17388.902,*,17
1037,17377.361,*,16
1038,14017.053,*,6
1039,14005.506,*,7
1040,13491.591,*,12
1041,13480.039,*,11
1042,18061.29,*,17
1043,18049.7,*,16
1044,18226.753,*,15
1045,18215.163,*,15
1046,13930.954,*,4
1047,13919.363,*,5
1048,15813.779,*,12
1049,15802.183,*,13
1050,19364.075,*,18
1051,19352.475,*,17
1052,17129.89,*,15
1053,17118.286,*,14
1054,12691.588,*,12
1055,15882.252,*,12
1056,15870.643,*,11
1057,17452.842,*,16
1058,17441.232,*,16
1059,16659.247,*,16
1060,16647.627,*,16
1061,19563.925,*,19
1062,10277.49,*,11
1063,10265.827,*,11
1064,11012.601,*,10
1065,11000.929,*,10
1066,19235.27,*,17
1067,19223.594,*,18
1068,13865.422,*,6
1069,13853.744,*,6
1070,13434.285,*,17
1071,20790.221,*,20
1072,20778.535,*,19
1073,15185.357,*,10
1074,16678.046,*,13
1075,16666.355,*,13
1076,19786.544,*,19
1077,19774.85,*,19
1078,17375.916,*,19
1079,16020.004,*,13
1080,16008.299,*,12
1081,17080.457,*,17
1082,17068.749,*,17
1083,10589.408,*,9
1084,10577.691,*,8
1085,12321.605,*,7
1086,13080.815,*,4
1087,13069.093,*,4
1088,17680.695,*,14
1089,17668.971,*,14
1090,15023.666,*,5
1091,15011.923,*,6
1092,14353.944,*,11
1093,14342.199,*,12
1094,17006.2,*,15
1095,16994.452,*,14
1096,11125.398,*,10
1097,11113.649,*,9
1098,13623.482,*,8
1099,13611.723,*,9
1100,19930.542,*,20
1101,19918.783,*,19
1102,9199.678,*,11
1103,9187.915,*,11
1104,17596.178,*,18
1105,17584.414,*,18
1106,14350.163,*,6
1107,14338.393,*,7
1108,16313.26,*,12
1109,16301.489,*,13
1110,10725.86,*,8
1111,10714.081,*,9
1112,12017.042,*,9
1113,12005.258,*,9
1114,14528.441,*,14
1115,14516.655,*,15
1116,14532.748,*,13
1117,14520.955,*,13
1118,20500.038,*,19
1119,20488.245,*,20
1120,6672.418,30,7
1121,6660.613,26,6
1122,11623.79,*,7
1123,11611.977,*,8
1124,16588.293,*,14
1125,16576.467,*,13
1126,14843.45,*,5
1127,14831.623,*,5
1128,18535.695,*,15
1129,18523.864,*,15
1130,9502.713,*,9
1131,9490.881,*,10
1132,17065.402,*,16
1133,8173.882,*,12
1134,8162.041,*,13
1135,18809.996,*,18
1136,18798.148,*,18
1137,17876.003,*,18
1138,17864.151,*,18
1139,11617.488,*,6
1140,11605.635,*,6
1141,13179.299,*,9
1142,13167.444,*,10
1143,20331.365,*,20
1144,20319.503,*,20
1145,11199.238,*,8
1146,11187.376,*,7
1147,17237.57,*,13
1148,17225.703,*,14
1149,14904.514,*,3
1150,14892.647,*,3
1151,17147.679,*,13
1152,14668.53,*,15
1153,14656.654,*,14
1154,13929.669,*,9
1155,13917.776,*,8
1156,19211.694,*,19
1157,13980.262,*,14
1158,13968.36,*,15
1159,14720.608,*,3
1160,18344.208,*,15
1161,18332.295,*,15
1162,15412.101,*,13
1163,15400.181,*,12
1164,12115.831,*,12
1165,12702.595,*,7
1166,12690.674,*,6
1167,8997.591,52,6
1168,8985.663,44,5
1169,15748.237,*,13
1170,15736.307,*,14
1171,15682.415,*,19
1172,15670.486,*,20
1173,17390.085,*,18
1174,17378.152,*,17
1175,13832.426,*,9
1176,13820.491,*,10
1177,12509.72,*,19
1178,14176.922,*,16
1179,14164.972,*,16
1180,13564.171,*,4
1181,13552.219,*,5
1182,15054.053,*,11
1183,15042.093,*,10
1184,14797.899,*,3
1185,14785.938,*,2
1186,13949.475,*,15
1187,13937.503,*,15
1188,11214.365,*,6
1189,11202.389,*,6
1190,16775.133,*,13
1191,20444.329,*,19
1192,20432.342,*,19
1193,17103.965,*,14
1194,15056.294,*,12
1195,15044.306,*,12
1196,13089.752,*,12
1197,13077.762,*,12
1198,18408.972,*,16
1199,18396.978,*,15
1200,14179.295,*,6
1201,14167.293,*,7
1202,13467.504,*,10
1203,13455.493,*,9
1204,11895.355,*,11
1205,11883.337,*,11
1206,14618.839,*,8
1207,18975.968,*,17
1208,18963.941,*,18
1209,18065.523,*,15
1210,14481.487,*,15
1211,14469.455,*,14
1212,14104.913,*,6
1213,14092.858,*,7
1214,20693.003,*,20
1215,19192.995,*,18
1216,15845.202,*,16
1217,15468.632,*,14
1218,15456.563,*,15
1219,18426.837,*,19
1220,18414.767,*,19
1221,16670.772,*,20
1222,16658.693,*,19
1223,11070.252,*,3
1224,11058.171,*,4
1225,18248.381,*,17
1226,18236.285,*,18
1227,16390.968,*,14
1228,16378.855,*,14
1229,14583.438,*,10
1230,14571.313,*,11
1231,18778.753,*,17
1232,18766.609,*,17
1233,20889.192,*,20
1234,20877.044,*,20
1235,13717.129,*,8
1236,13704.975,*,9
1237,17777.302,*,16
1238,17765.147,*,15
1239,14854.649,*,8
1240,14842.488,*,7
1241,15083.577,*,7
1242,15071.411,*,8
1243,13832.874,*,13
1244,13820.704,*,14
1245,15969.113,*,13
1246,13827.616,*,7
