id,energy,na,na,lifetime,na,na,na,na
264,1.32E+04,177,88,-1.00E+00,3,f,0,a3Piu
265,1.29E+04,179,89,-1.00E+00,1,e,0,a3Piu
266,1.32E+04,179,89,-1.00E+00,2,e,0,a3Piu
267,1.35E+04,179,89,-1.00E+00,3,e,0,a3Piu
268,1.32E+04,181,90,-1.00E+00,1,f,0,a3Piu
269,1.35E+04,181,90,-1.00E+00,2,f,0,a3Piu
270,1.38E+04,181,90,-1.00E+00,3,f,0,a3Piu
271,1.35E+04,183,91,-1.00E+00,1,e,0,a3Piu
272,1.38E+04,183,91,-1.00E+00,2,e,0,a3Piu
273,1.40E+04,183,91,-1.00E+00,3,e,0,a3Piu
274,1.38E+04,185,92,-1.00E+00,1,f,0,a3Piu
275,1.40E+04,185,92,-1.00E+00,2,f,0,a3Piu
276,1.43E+04,185,92,-1.00E+00,3,f,0,a3Piu
277,1.40E+04,187,93,-1.00E+00,1,e,0,a3Piu
278,1.43E+04,187,93,-1.00E+00,2,e,0,a3Piu
279,1.46E+04,187,93,-1.00E+00,3,e,0,a3Piu
280,1.43E+04,189,94,-1.00E+00,1,f,0,a3Piu
281,1.46E+04,189,94,-1.00E+00,2,f,0,a3Piu
282,1.49E+04,189,94,-1.00E+00,3,f,0,a3Piu
283,1.46E+04,191,95,-1.00E+00,1,e,0,a3Piu
284,1.49E+04,191,95,-1.00E+00,2,e,0,a3Piu
285,1.52E+04,191,95,-1.00E+00,3,e,0,a3Piu
286,1.49E+04,193,96,-1.00E+00,1,f,0,a3Piu
287,1.52E+04,193,96,-1.00E+00,2,f,0,a3Piu
288,1.55E+04,193,96,-1.00E+00,3,f,0,a3Piu
289,1.52E+04,195,97,-1.00E+00,1,e,0,a3Piu
290,1.55E+04,195,97,-1.00E+00,2,e,0,a3Piu
291,1.58E+04,195,97,-1.00E+00,3,e,0,a3Piu
292,2.25E+03,1,0,-1.00E+00,3,f,1,a3Piu
293,2.24E+03,3,1,-1.00E+00,2,e,1,a3Piu
294,2.25E+03,3,1,-1.00E+00,3,e,1,a3Piu
295,2.22E+03,5,2,-1.00E+00,1,f,1,a3Piu
296,2.24E+03,5,2,-1.00E+00,2,f,1,a3Piu
297,2.26E+03,5,2,-1.00E+00,3,f,1,a3Piu
298,2.23E+03,7,3,-1.00E+00,1,e,1,a3Piu
299,2.25E+03,7,3,-1.00E+00,2,e,1,a3Piu
300,2.27E+03,7,3,-1.00E+00,3,e,1,a3Piu
301,2.24E+03,9,4,-1.00E+00,1,f,1,a3Piu
302,2.27E+03,9,4,-1.00E+00,2,f,1,a3Piu
303,2.29E+03,9,4,-1.00E+00,3,f,1,a3Piu
304,2.26E+03,11,5,-1.00E+00,1,e,1,a3Piu
305,2.28E+03,11,5,-1.00E+00,2,e,1,a3Piu
306,2.31E+03,11,5,-1.00E+00,3,e,1,a3Piu
307,2.27E+03,13,6,-1.00E+00,1,f,1,a3Piu
